price,is_detached,is_semidetached,is_terrace,is_apartment_or_flat
235000.0,False,True,False,False
199500.0,False,True,False,False
227500.0,False,True,False,False
239950.0,True,False,False,False
450000.0,True,False,False,False
208000.0,False,True,False,False
495000.0,True,False,False,False
404950.0,True,False,False,False
550000.0,True,False,False,False
550000.0,True,False,False,False
114950.0,False,True,False,False
1000000.0,True,False,False,False
247000.0,True,False,False,False
237000.0,True,False,False,False
500000.0,True,False,False,False
500000.0,True,False,False,False
379500.0,True,False,False,False
274950.0,False,False,False,True
2500000.0,False,False,False,False
275000.0,True,False,False,False
175950.0,False,True,False,False
187500.0,False,True,False,False
157500.0,False,True,False,False
450000.0,True,False,False,False
85000.0,False,False,True,False
89950.0,True,False,False,False
175000.0,False,True,False,False
169500.0,False,True,False,False
165000.0,False,False,True,False
364950.0,True,False,False,False
74950.0,False,False,False,True
405000.0,True,False,False,False
219950.0,False,True,False,False
224950.0,True,False,False,False
1300000.0,True,False,False,False
105000.0,False,False,True,False
570000.0,True,False,False,False
157500.0,False,False,False,False
172500.0,False,True,False,False
460000.0,True,False,False,False
545000.0,True,False,False,False
219950.0,False,True,False,False
219950.0,False,True,False,False
210000.0,False,True,False,False
375000.0,True,False,False,False
79950.0,True,False,False,False
455000.0,False,True,False,False
325000.0,True,False,False,False
625000.0,True,False,False,False
284950.0,True,False,False,False
194950.0,False,True,False,False
168500.0,False,True,False,False
299000.0,True,False,False,False
250000.0,True,False,False,False
75000.0,False,False,False,True
184950.0,False,True,False,False
350000.0,False,False,False,False
340000.0,False,False,False,False
213000.0,True,False,False,False
99950.0,False,False,False,True
369950.0,True,False,False,False
295000.0,True,False,False,False
310000.0,True,False,False,False
194950.0,False,False,False,False
290000.0,False,True,False,False
397000.0,False,True,False,False
300000.0,True,False,False,False
200000.0,False,False,False,False
74950.0,False,False,True,False
84950.0,False,False,True,False
135000.0,False,False,False,True
242500.0,False,False,False,True
415000.0,True,False,False,False
275000.0,True,False,False,False
247500.0,True,False,False,False
282500.0,True,False,False,False
550000.0,True,False,False,False
134950.0,False,True,False,False
415000.0,True,False,False,False
155000.0,True,False,False,False
99950.0,False,False,True,False
239000.0,False,True,False,False
350000.0,True,False,False,False
185000.0,False,True,False,False
349950.0,True,False,False,False
99950.0,False,False,False,True
395000.0,False,True,False,False
69950.0,False,False,False,True
320000.0,True,False,False,False
255000.0,False,True,False,False
300000.0,True,False,False,False
299950.0,True,False,False,False
350000.0,True,False,False,False
290000.0,True,False,False,False
299950.0,True,False,False,False
200000.0,False,False,False,False
235000.0,False,False,False,True
625000.0,True,False,False,False
164950.0,False,True,False,False
84950.0,True,False,False,False
399950.0,True,False,False,False
194500.0,True,False,False,False
172500.0,False,True,False,False
189950.0,True,False,False,False
365000.0,True,False,False,False
174950.0,False,True,False,False
189950.0,False,True,False,False
217450.0,True,False,False,False
219950.0,True,False,False,False
55000.0,False,False,False,True
52500.0,False,False,False,True
125000.0,False,True,False,False
695000.0,True,False,False,False
70000.0,True,False,False,False
695000.0,True,False,False,False
185000.0,True,False,False,False
169950.0,True,False,False,False
249950.0,True,False,False,False
395000.0,True,False,False,False
119000.0,True,False,False,False
365000.0,True,False,False,False
197500.0,False,False,False,True
660000.0,True,False,False,False
64950.0,False,False,True,False
160000.0,False,True,False,False
124950.0,False,False,False,False
549950.0,True,False,False,False
349950.0,True,False,False,False
180000.0,False,True,False,False
349950.0,True,False,False,False
450000.0,True,False,False,False
332500.0,False,True,False,False
179950.0,True,False,False,False
270000.0,False,False,False,True
325000.0,True,False,False,False
449950.0,False,False,True,False
247950.0,True,False,False,False
115000.0,False,False,False,True
310000.0,True,False,False,False
460000.0,True,False,False,False
235000.0,True,False,False,False
200000.0,False,False,False,True
225000.0,False,False,False,True
1500000.0,True,False,False,False
245000.0,True,False,False,False
245000.0,True,False,False,False
325000.0,True,False,False,False
149950.0,False,False,True,False
187500.0,False,True,False,False
207500.0,True,False,False,False
